Packet ID                             Action          Delay(in Sec)       Starting Time    Current_time(in Sec)    Switch 1 Queue Length    Switch 2 Queue Length
------------------------------------  --------------  ------------------  ---------------  ----------------------  -----------------------  -----------------------
episode = 0
0fbb87eb-e998-4692-9de5-2c2f02951f6f  es1 to switch1  1.1111111111111112  0                0                       0                        0
3dbd3bc2-0d62-4221-bab6-31c70a1a0cd3  es2 to switch2  2.5                 0                0                       0                        0
fa85ad57-a45a-4a7f-8f7f-ce409087eb44  es1 to switch1  1.1111111111111112  1                1.1111111111111112      1                        0
b070ce1f-0177-4ffd-a785-060f5798c625  es1 to switch1  1.1111111111111112  2                2.2222222222222223      2                        0
1ec6258d-2c03-4f78-8acf-80b54f3cd6c9  es2 to switch2  2.5                 1                2.5                     2                        1
64867de5-bc3e-4ed8-b0ce-a4913961f92d  es1 to switch1  1.1111111111111112  3                3.3333333333333335      3                        1
c833e3e8-d2cf-45c0-8131-a31ab4b684a7  es1 to switch1  1.1111111111111112  4                4.444444444444445       4                        1
360cd4f3-402e-483a-98ae-488a161138e3  es2 to switch2  2.5                 2                5.0                     4                        2
f1718583-4159-425e-b94f-802c38e651d5  es1 to switch1  1.1111111111111112  5                5.555555555555555       5                        2
3dbd3bc2-0d62-4221-bab6-31c70a1a0cd3  sw2 to sw1      1.25 (Agent)        0                6                       6                        1
1ec6258d-2c03-4f78-8acf-80b54f3cd6c9  sw2 to sw1      1.25 (Agent)        1                6                       7                        0
61aad52d-05f2-46a0-9e3a-6721247a14eb  es1 to switch1  1.1111111111111112  6                6.666666666666666       8                        0
8d365788-1260-4aef-86e9-2d2a6757fec6  es2 to switch2  2.5                 3                7.5                     8                        0
360cd4f3-402e-483a-98ae-488a161138e3  sw2 to es3      10.0 (Agent)        7.5              2                       8                        0
abb524c8-50a6-487c-b4ea-ad1d7d284aed  es1 to switch1  1.1111111111111112  7                7.777777777777777       9                        0
ecd8f6d6-e33c-44cf-89f2-bbadd2fbba59  es1 to switch1  1.1111111111111112  8                8.888888888888888       10                       0
68df15f6-13b7-433c-ba49-c51ce432875a  es1 to switch1  1.1111111111111112  9                9.999999999999998       11                       0
64550059-32d2-472f-86fc-b739ca4e96c6  es2 to switch2  2.5                 4                10.0                    12                       0
8d365788-1260-4aef-86e9-2d2a6757fec6  sw2 to sw1      1.25 (Agent)        3                10.0                    12                       0
0fbb87eb-e998-4692-9de5-2c2f02951f6f  sw1 to sw2      1.25 (Agent)        0                10.0                    11                       1
0fbb87eb-e998-4692-9de5-2c2f02951f6f  sw2 to sw1      1.25 (Agent)        0                10.0                    12                       0
fa85ad57-a45a-4a7f-8f7f-ce409087eb44  sw1 to sw2      1.25 (Agent)        1                10.0                    11                       1
b070ce1f-0177-4ffd-a785-060f5798c625  sw1 to sw2      1.25 (Agent)        2                10.0                    10                       2
fa85ad57-a45a-4a7f-8f7f-ce409087eb44  sw2 to sw1      1.25 (Agent)        1                10.0                    11                       1
b070ce1f-0177-4ffd-a785-060f5798c625  sw2 to sw1      1.25 (Agent)        2                10.0                    12                       0
40d0ce16-9174-40f6-b134-e9806ec7510a  es1 to switch1  1.1111111111111112  10               11.111111111111109      13                       0
c282a75a-fca4-45df-ae18-831ad467512c  es1 to switch1  1.1111111111111112  11               12.22222222222222       14                       0
3bdad0f4-1d92-4007-a164-f68ec047dff7  es2 to switch2  2.5                 5                12.5                    15                       0
64550059-32d2-472f-86fc-b739ca4e96c6  sw2 to sw1      1.25 (Agent)        4                12.5                    15                       0
64867de5-bc3e-4ed8-b0ce-a4913961f92d  sw1 to es3      10.0 (Agent)        12.5             3                       14                       0
46ae9d05-31ce-4f35-b2f3-b190ed74c59d  es1 to switch1  1.1111111111111112  12               13.33333333333333       15                       0
4c05d260-438f-4800-ba0a-bb123bb271d2  es1 to switch1  1.1111111111111112  13               14.444444444444441      16                       0
061feffe-3004-4814-b7b7-deb5564b5115  es2 to switch2  2.5                 6                15.0                    17                       0
3bdad0f4-1d92-4007-a164-f68ec047dff7  sw2 to sw1      1.25 (Agent)        5                15.0                    17                       0
247990a3-3458-4f68-ad65-021d4e7f507a  es1 to switch1  1.1111111111111112  14               15.555555555555552      18                       0
f70ed2c2-f711-4a76-bca9-369535aa0047  es1 to switch1  1.1111111111111112  15               16.666666666666664      19                       0
364aa915-4853-4bba-b951-0d1bfde09f64  es2 to switch2  2.5                 7                17.5                    19                       0
061feffe-3004-4814-b7b7-deb5564b5115  sw2 to es3      10.0 (Agent)        17.5             6                       19                       0
d8fb8c15-aa83-40db-92f7-f823eb657ae9  es1 to switch1  1.1111111111111112  16               17.777777777777775      20                       0
66713e2f-97d9-48b9-950f-e5ec619b5f41  es1 to switch1  1.1111111111111112  17               18.888888888888886      21                       0
368f43f1-d937-4f56-9b14-6c69bb854c54  es1 to switch1  1.1111111111111112  18               19.999999999999996      22                       0
7edf32fe-f13d-46be-868b-5e6bc4d2914a  es2 to switch2  2.5                 8                20.0                    23                       0
364aa915-4853-4bba-b951-0d1bfde09f64  sw2 to sw1      1.25 (Agent)        7                20.0                    23                       0
c833e3e8-d2cf-45c0-8131-a31ab4b684a7  sw1 to es3      10.0 (Agent)        20.0             4                       22                       0
3dbd3bc2-0d62-4221-bab6-31c70a1a0cd3  sw1 to sw2      1.25 (Agent)        0                20.0                    21                       1
